"Year","Season","Location","LocCode","Easting","Northing","N.bearing","N.antenna","E.bearing","E.antenna","S.bearing","S.antenna","W.bearing","W.antenna"
2008,"Fall","Tip",,577540,4710900,"NA","NA",92,5,180,9,272,9
2008,"Fall","Burnt",,568953,4710457,0,5,85,9,180,9,285,9
2008,"Fall","Park","Pk",549653,4714280,"NA","NA",100,5,191,9,292,9
2009,"Spring","Tip",,577540,4710900,2,9,92,5,180,5,272,9
2009,"Spring","Burnt",,568953,4710457,5,9,76,9,180,5,298,9
2009,"Spring","Park","Pk",549653,4714280,0,9,96,9,191,5,292,9
2009,"Fall","Tip",,577540,4710900,2,9,92,5,180,9,272,9
2009,"Fall","TipDune",,574579,4710746,"NA","NA","NA","NA","NA","NA",285,9
2009,"Fall","Park","Pk",549653,4714280,0,9,96,9,191,9,292,9
2009,"Fall","BSC","Hq",544578,4718088,"NA","NA",45,9,"NA","NA",225,9
2009,"Fall","Farm","Fm",548306,4727534,340,5,70,5,160,5,250,5
