"","ts","id","antenna","power","location","Easting","Northing","goodtags"
"954568",2009-10-02 13:53:41,89,"Fm-E",255,"Farm",548291.050926915,4727520.63725331,TRUE
"954571",2009-10-02 13:53:49,89,"Fm-S",230,"Farm",548295.954301311,4727522.2446582,TRUE
"954574",2009-10-02 13:53:56,89,"Fm-W",255,"Farm",548297.180090739,4727522.65422128,TRUE
"954578",2009-10-02 13:54:04,89,"Fm-N",255,"Farm",548298.111185286,4727522.90749394,TRUE
"954581",2009-10-02 13:54:12,89,"Fm-E",255,"Farm",548298.453320886,4727522.78649489,TRUE
"954583",2009-10-02 13:54:19,89,"Fm-S",255,"Farm",548298.180301326,4727522.78458931,TRUE
"954586",2009-10-02 13:54:27,89,"Fm-W",255,"Farm",548300.112252208,4727523.07569466,TRUE
"954589",2009-10-02 13:54:34,89,"Fm-N",255,"Farm",548304.973349379,4727524.22010954,TRUE
"954592",2009-10-02 13:54:42,89,"Fm-E",252,"Farm",548305.78207245,4727525.70639933,TRUE
"954594",2009-10-02 13:54:50,89,"Fm-S",255,"Farm",548302.329639395,4727524.8494373,TRUE
"954599",2009-10-02 13:54:57,89,"Fm-W",255,"Farm",548298.800623467,4727521.92520974,TRUE
"954602",2009-10-02 13:55:05,89,"Fm-N",255,"Farm",548295.528976717,4727517.9848373,TRUE
"954605",2009-10-02 13:55:12,89,"Fm-E",255,"Farm",548294.674962493,4727516.46738592,TRUE
"954607",2009-10-02 13:55:20,89,"Fm-S",255,"Farm",548298.435374574,4727518.83798472,TRUE
"954613",2009-10-02 13:55:35,89,"Fm-W",238,"Farm",548296.326791269,4727517.77447816,TRUE
"954615",2009-10-02 13:55:43,89,"Fm-N",255,"Farm",548297.07279107,4727521.72806968,TRUE
"954617",2009-10-02 13:55:50,89,"Fm-E",254,"Farm",548296.661108859,4727522.03366395,TRUE
"954619",2009-10-02 13:55:58,89,"Fm-S",253,"Farm",548296.722690039,4727522.99034322,TRUE
"954624",2009-10-02 13:56:06,89,"Fm-W",255,"Farm",548297.92788053,4727523.09129509,TRUE
"954629",2009-10-02 13:56:13,89,"Fm-N",255,"Farm",548297.431581852,4727525.74065228,TRUE
"954632",2009-10-02 13:56:21,89,"Fm-E",255,"Farm",548298.248702587,4727526.02397625,TRUE
"954634",2009-10-02 13:56:28,89,"Fm-S",232,"Farm",548297.531845586,4727524.41494151,TRUE
"954638",2009-10-02 13:56:36,89,"Fm-W",255,"Farm",548297.351124294,4727524.22859962,TRUE
"954643",2009-10-02 13:56:44,89,"Fm-N",197,"Farm",548297.441269657,4727524.35261582,TRUE
"954646",2009-10-02 13:56:51,89,"Fm-E",110,"Farm",548297.373230067,4727524.32129418,TRUE
"954648",2009-10-02 13:56:59,89,"Fm-S",192,"Farm",548293.351574118,4727523.52205731,TRUE
